,Latest vintage,Seasonal Naive,ETS
2001-05-01 00:00:00,680.0,,
2001-06-01 00:00:00,674.0,,
2001-07-01 00:00:00,663.0,,
2001-08-01 00:00:00,663.0,,
2001-09-01 00:00:00,639.0,,
2001-10-01 00:00:00,626.0,,
2001-11-01 00:00:00,601.0,,
2001-12-01 00:00:00,606.0,,
2002-01-01 00:00:00,616.0,,
2002-02-01 00:00:00,619.0,,
2002-03-01 00:00:00,619.0,,
2002-04-01 00:00:00,613.0,,
2002-05-01 00:00:00,616.0,,
2002-06-01 00:00:00,611.0,,
2002-07-01 00:00:00,613.0,,
2002-08-01 00:00:00,609.0,,
2002-09-01 00:00:00,609.0,,
2002-10-01 00:00:00,608.0,,
2002-11-01 00:00:00,603.0,,
2002-12-01 00:00:00,602.0,,
2003-01-01 00:00:00,596.0,,
2003-02-01 00:00:00,593.0,,
2003-03-01 00:00:00,585.0,,
2003-04-01 00:00:00,589.0,,
2003-05-01 00:00:00,579.0,,
2003-06-01 00:00:00,574.0,,
2003-07-01 00:00:00,576.0,,
2003-08-01 00:00:00,592.0,,
2003-09-01 00:00:00,604.0,,
2003-10-01 00:00:00,610.0,,
2003-11-01 00:00:00,614.0,,
2003-12-01 00:00:00,613.0,,
2004-01-01 00:00:00,617.0,,
2004-02-01 00:00:00,624.0,,
2004-03-01 00:00:00,630.0,,
2004-04-01 00:00:00,637.0,,
2004-05-01 00:00:00,641.0,,
2004-06-01 00:00:00,652.0,,
2004-07-01 00:00:00,654.0,,
2004-08-01 00:00:00,654.0,,
2004-09-01 00:00:00,655.0,,
2004-10-01 00:00:00,658.0,,
2004-11-01 00:00:00,662.0,,
2004-12-01 00:00:00,661.0,,
2005-01-01 00:00:00,655.0,,
2005-02-01 00:00:00,644.0,,
2005-03-01 00:00:00,636.0,,
2005-04-01 00:00:00,642.0,,
2005-05-01 00:00:00,642.0,,
2005-06-01 00:00:00,633.0,,
2005-07-01 00:00:00,624.0,,
2005-08-01 00:00:00,622.0,,
2005-09-01 00:00:00,608.0,,
2005-10-01 00:00:00,606.0,,
2005-11-01 00:00:00,609.0,,
2005-12-01 00:00:00,615.0,,
2006-01-01 00:00:00,612.0,,
2006-02-01 00:00:00,600.0,,
2006-03-01 00:00:00,597.0,,
2006-04-01 00:00:00,597.0,,
2006-05-01 00:00:00,604.0,,
2006-06-01 00:00:00,607.0,,
2006-07-01 00:00:00,610.0,,
2006-08-01 00:00:00,611.0,,
2006-09-01 00:00:00,618.0,,
2006-10-01 00:00:00,620.0,,
2006-11-01 00:00:00,620.0,,
2006-12-01 00:00:00,619.0,,
2007-01-01 00:00:00,629.0,,
2007-02-01 00:00:00,642.0,,
2007-03-01 00:00:00,647.0,,
2007-04-01 00:00:00,651.0,,
2007-05-01 00:00:00,659.0,,
2007-06-01 00:00:00,670.0,,
2007-07-01 00:00:00,681.0,,
2007-08-01 00:00:00,684.0,,
2007-09-01 00:00:00,686.0,,
2007-10-01 00:00:00,691.0,,
2007-11-01 00:00:00,687.0,,
2007-12-01 00:00:00,679.0,,
2008-01-01 00:00:00,687.0,,
2008-02-01 00:00:00,698.0,,
2008-03-01 00:00:00,694.0,,
2008-04-01 00:00:00,679.0,,
2008-05-01 00:00:00,657.0,,
2008-06-01 00:00:00,643.0,,
2008-07-01 00:00:00,624.0,,
2008-08-01 00:00:00,615.0,,
2008-09-01 00:00:00,596.0,,
2008-10-01 00:00:00,562.0,,
2008-11-01 00:00:00,527.0,,
2008-12-01 00:00:00,498.0,,
2009-01-01 00:00:00,478.0,,
2009-02-01 00:00:00,464.0,,
2009-03-01 00:00:00,454.0,,
2009-04-01 00:00:00,444.0,,
2009-05-01 00:00:00,431.0,,
2009-06-01 00:00:00,429.0,,
2009-07-01 00:00:00,438.0,,
2009-08-01 00:00:00,436.0,,
